"Task_ID","Coupon_Title"
"306277","優惠券"
"306279","註冊優惠"
"306281","註冊優惠"
"306282","50元優惠券"
"306287","邀請優惠"
"306289","50元優惠券"
"306290","邀請優惠"
"306291","註冊優惠"
"306293","邀請優惠"
"306294","15分未達優惠"
"306298","15分未達優惠"
"306299","邀請優惠"
"306300","註冊優惠"
"306301","註冊優惠"
"306303","50元優惠券"
"306316","15分未達優惠"
"306317","優惠券"
"306319","註冊優惠"
"306320","嗨到集點-三點獎勵"
"306321","推播首用優惠200元"
"306325","邀請優惠"
"306331","註冊優惠"
"306333","註冊優惠"
"306335","50元優惠券"
"306339","國泰世華信用卡優惠（限首用）"
"306347","15分未達優惠"
"306349","國泰世華信用卡優惠（限首用）"
"306350","註冊優惠"
"306354","註冊優惠"
"306355","註冊優惠"
"306357","註冊優惠"
"306360","白色野餐優惠"
"306362","邀請優惠"
"306363","邀請優惠"
"306366","註冊優惠"
"306369","註冊優惠"
"306370","邀請優惠"
"306379","註冊優惠"
"306385","註冊優惠"
"306386","15分未達優惠"
"306388","15分未達優惠"
"306389","註冊優惠"
"306391","15分未達優惠"
"306393","註冊優惠"
"306395","15分未達優惠"
"306398","15分未達優惠"
"306399","註冊優惠"
"306406","花旗信用卡優惠"
"306408","嗨到集點-六點獎勵"
"306410","註冊優惠"
"306412","註冊優惠"
"306413","註冊優惠"
"306415","50元優惠券"
"306421","邀請優惠"
"306423","註冊優惠"
"306428","註冊優惠"
"306429","註冊優惠"
"306430","信用卡綁定優惠"
"306431","註冊優惠"
"306432","台新卡友禮遇"
"306436","line首次優惠"
"306438","註冊優惠"
"306439","註冊優惠"
"306443","註冊優惠"
"306446","花旗信用卡優惠"
"306449","推播首用優惠200元"
"306450","註冊優惠"
"306454","邀請優惠"
"306456","註冊優惠"
"306460","50元優惠券"
"306461","50元優惠券"
"306462","信用卡綁定優惠"
"306465","15分未達優惠"
"306470","信用卡綁定優惠"
"306471","信用卡綁定優惠"
"306472","推播首用優惠200元"
"306475","信用卡綁定優惠"
"306477","邀請優惠"
"306478","註冊優惠"
"306481","邀請優惠"
"306483","優惠券"
"306484","熟客優惠券"
"306486","邀請優惠"
"306488","line首次優惠"
"306494","註冊優惠"
"306498","邀請優惠"
"306500","優惠券"
"306502","優惠券"
"306504","推播首用優惠200元"
"306510","優惠券"
"306512","推播優惠"
"306513","推播優惠"
"306518","邀請優惠"
"306520","信用卡綁定優惠"
"306523","邀請優惠"
"306524","15分未達優惠"
"306525","50元優惠券"
"306526","邀請優惠"
"306529","註冊優惠"
"306534","優惠券"
"306539","註冊優惠"
"306540","信用卡綁定優惠"
"306545","邀請優惠"
"306546","註冊優惠"
"306547","註冊優惠"
"306552","50元優惠券"
"306553","邀請優惠"
"306554","邀請優惠"
"306555","邀請優惠"
"306556","邀請優惠"
"306560","推播首用優惠200元"
"306563","信用卡綁定優惠"
"306566","邀請優惠"
"306568","註冊優惠"
"306570","推播首用優惠200元"
"306577","註冊優惠"
"306578","50元優惠券"
"306588","台新卡友禮遇"
"306593","50元優惠券"
"306594","邀請優惠"
"306596","註冊優惠"
"306597","註冊優惠"
"306598","推播優惠"
"306600","註冊優惠"
"306602","註冊優惠"
"306605","優惠券"
"306606","15分未達優惠"
"306609","邀請優惠"
"306611","註冊優惠"
"306612","推播優惠"
"306613","註冊優惠"
"306614","註冊優惠"
"306615","註冊優惠"
"306619","邀請優惠"
"306620","推播優惠"
"306621","註冊優惠"
"306630","邀請優惠"
"306633","註冊優惠"
"306634","註冊優惠"
"306635","註冊優惠"
"306645","嗨到集點-三點獎勵"
"306646","15分未達優惠"
"306649","15分未達優惠"
"306651","15分未達優惠"
"306652","50元優惠券"
"306653","15分未達優惠"
"306654","台新卡友禮遇"
"306658","邀請優惠"
"306659","50元優惠券"
"306660","15分未達優惠"
"306661","15分未達優惠"
"306663","15分未達優惠"
"306665","15分未達優惠"
"306666","邀請優惠"
"306667","優惠券"
"306671","優惠券"
"306674","註冊優惠"
"306675","邀請優惠"
"306676","註冊優惠"
"306677","邀請優惠"
"306678","熟客優惠券"
"306679","註冊優惠"
"306685","註冊優惠"
"306689","推播優惠100元"
"306691","15分未達優惠"
"306692","熟客優惠券"
"306693","嗨到集點-三點獎勵"
"306695","邀請優惠"
"306697","50元優惠券"
"306701","邀請優惠"
"306703","台新卡友禮遇"
"306707","50元優惠券"
"306711","註冊優惠"
"306712","信用卡綁定優惠"
"306714","註冊優惠"
"306715","熟客優惠券"
"306717","嗨到集點-六點獎勵"
"306718","推播優惠"
"306719","邀請優惠"
"306720","註冊優惠"
"306721","50元優惠券"
"306723","推播優惠"
"306724","邀請優惠"
"306731","邀請優惠"
"306740","15分未達優惠"
"306741","熟客優惠券"
"306742","註冊優惠"
"306746","50元優惠券"
"306747","邀請優惠"
"306749","15分未達優惠"
"306751","優惠券"
"306754","信用卡綁定優惠"
"306756","註冊優惠"
"306757","50元優惠券"
"306767","註冊優惠"
"306769","邀請優惠"
"306771","註冊優惠"
"306772","註冊優惠"
"306780","15分未達優惠"
"306794","推播優惠100元"
"306795","50元優惠券"
"306797","註冊優惠"
"306801","邀請優惠"
"306805","註冊優惠"
"306806","推播優惠100元"
"306807","line首次優惠"
"306811","推播首用優惠200元"
"306815","註冊優惠"
"306816","優惠券"
"306820","熟客優惠券"
"306822","註冊優惠"
"306823","邀請優惠"
"306830","推播優惠"
"306832","50元優惠券"
"306833","註冊優惠"
"306834","熟客優惠券"
"306841","推播優惠"
"306842","推播優惠"
"306846","推播優惠"
"306848","註冊優惠"
"306849","註冊優惠"
"306851","推播首用優惠200元"
"306853","註冊優惠"
"306855","註冊優惠"
"306861","註冊優惠"
"306871","優惠券"
"306872","邀請優惠"
"306873","邀請優惠"
"306875","熟客優惠券"
"306879","註冊優惠"
"306882","註冊優惠"
"306886","嗨到集點-六點獎勵"
"306887","熟客優惠券"
"306888","優惠券"
"306889","熟客優惠券"
"306890","熟客優惠券"
"306891","熟客優惠券"
"306892","熟客優惠券"
"306893","註冊優惠"
"306895","熟客優惠券"
"306896","推播首用優惠200元"
"306898","推播優惠100元"
"306900","推播優惠"
"306907","註冊優惠"
"306909","註冊優惠"
"306910","註冊優惠"
"306911","熟客優惠券"
"306915","花旗信用卡優惠"
"306916","50元優惠券"
"306922","15分未達優惠"
"306923","15分未達優惠"
"306924","推播優惠100元"
"306926","推播優惠100元"
"306927","推播優惠100元"
"306929","優惠券"
"306930","推播首用優惠200元"
"306932","15分未達優惠"
"306933","15分未達優惠"
"306935","15分未達優惠"
"306938","邀請優惠"
"306940","15分未達優惠"
"306941","15分未達優惠"
"306942","15分未達優惠"
"306943","15分未達優惠"
"306948","花旗信用卡優惠"
"306949","花旗信用卡優惠"
"306950","邀請優惠"
"306951","註冊優惠"
"306952","15分未達優惠"
"306953","15分未達優惠"
"306957","邀請優惠"
"306958","優惠券"
"306959","白色野餐優惠"
"306965","註冊優惠"
"306966","註冊優惠"
"306972","熟客優惠券"
"306973","15分未達優惠"
"306977","熟客優惠券"
"306978","熟客優惠券"
"306979","熟客優惠券"
"306980","信用卡綁定優惠"
"306981","熟客優惠券"
"306983","熟客優惠券"
"306991","50元優惠券"
"306996","推播優惠"
"306997","推播優惠"
"306999","嗨到集點-十點獎勵"
"307000","50元優惠券"
"307003","註冊優惠"
"307014","line首次優惠"
"307015","推播首用優惠200元"
"307016","熟客優惠券"
"307017","15分未達優惠"
"307018","信用卡綁定優惠"
"307019","熟客優惠券"
"307021","註冊優惠"
"307022","白色野餐優惠"
"307024","15分未達優惠"
"307027","50元優惠券"
"307034","50元優惠券"
"307039","50元優惠券"
"307040","50元優惠券"
"307044","優惠券"
"307045","優惠券"
"307048","優惠券"
"307050","邀請優惠"
"307054","邀請優惠"
"307055","line首次優惠"
"307056","line首次優惠"
"307057","熟客優惠券"
"307062","15分未達優惠"
"307063","邀請優惠"
"307066","優惠券"
"307068","50元優惠券"
"307072","line首次優惠"
"307075","優惠券"
"307076","50元優惠券"
"307078","50元優惠券"
"307081","邀請優惠"
"307083","50元優惠券"
"307084","15分未達優惠"
"307087","註冊優惠"
"307089","15分未達優惠"
"307093","邀請優惠"
"307095","註冊優惠"
"307100","優惠券"
"307102","嗨到集點-十點獎勵"
"307103","嗨到集點-十點獎勵"
"307104","嗨到集點-十點獎勵"
"307107","註冊優惠"
"307114","嗨到集點-三點獎勵"
"307115","邀請優惠"
"307118","邀請優惠"
"307119","15分未達優惠"
"307121","熟客優惠券"
"307128","50元優惠券"
"307138","邀請優惠"
"307143","信用卡綁定優惠"
"307146","嗨到集點-三點獎勵"
"307151","註冊優惠"
"307158","邀請優惠"
"307159","邀請優惠"
"307161","嗨到集點-三點獎勵"
"307163","15分未達優惠"
"307164","邀請優惠"
"307166","註冊優惠"
"307167","註冊優惠"
"307168","註冊優惠"
"307169","嗨到集點-六點獎勵"
"307171","50元優惠券"
"307178","熟客優惠券"
"307179","熟客優惠券"
"307180","邀請優惠"
"307182","優惠券"
"307184","邀請優惠"
"307189","熟客優惠券"
"307191","15分未達優惠"
"307192","熟客優惠券"
"307194","50元優惠券"
"307199","推播首用優惠200元"
"307200","推播首用優惠200元"
"307202","推播首用優惠200元"
"307203","推播首用優惠200元"
"307204","推播首用優惠200元"
"307216","熟客優惠券"
"307235","註冊優惠"
"307238","花旗信用卡優惠"
"307244","註冊優惠"
"307245","註冊優惠"
"307251","15分未達優惠"
"307252","熟客優惠券"
"307253","熟客優惠券"
"307254","熟客優惠券"
"307255","熟客優惠券"
"307256","熟客優惠券"
"307257","熟客優惠券"
"307259","熟客優惠券"
"307260","熟客優惠券"
"307271","15分未達優惠"
"307277","推播首用優惠200元"
"307278","推播首用優惠200元"
"307279","15分未達優惠"
"307281","15分未達優惠"
"307282","熟客優惠券"
"307284","15分未達優惠"
"307289","15分未達優惠"
"307290","15分未達優惠"
"307296","50元優惠券"
"307298","註冊優惠"
"307300","熟客優惠券"
"307302","註冊優惠"
"307303","熟客優惠券"
"307304","註冊優惠"
"307306","熟客優惠券"
"307309","15分未達優惠"
"307313","熟客優惠券"
"307314","註冊優惠"
"307315","註冊優惠"
"307316","註冊優惠"
"307320","註冊優惠"
"307321","15分未達優惠"
"307322","信用卡綁定優惠"
"307323","註冊優惠"
"307324","15分未達優惠"
"307328","註冊優惠"
"307329","15分未達優惠"
"307332","邀請優惠"
"307333","邀請優惠"
"307334","嗨到集點-六點獎勵"
"307340","15分未達優惠"
"307345","註冊優惠"
"307346","15分未達優惠"
"307351","註冊優惠"
"307354","邀請優惠"
"307355","邀請優惠"
"307357","邀請優惠"
"307361","15分未達優惠"
"307373","邀請優惠"
"307376","信用卡綁定優惠"
"307378","嗨到集點-三點獎勵"
"307379","信用卡綁定優惠"
"307381","15分未達優惠"
"307386","50元優惠券"
"307387","優惠券"
"307390","15分未達優惠"
"307394","邀請優惠"
"307402","註冊優惠"
"307404","註冊優惠"
"307405","推播優惠"
"307417","邀請優惠"
"307422","註冊優惠"
"307428","15分未達優惠"
"307429","註冊優惠"
"307430","熟客優惠券"
"307434","15分未達優惠"
"307438","推播優惠"
"307439","註冊優惠"
"307448","註冊優惠"
"307450","50元優惠券"
"307453","邀請優惠"
"307455","註冊優惠"
"307456","15分未達優惠"
"307458","註冊優惠"
"307463","15分未達優惠"
"307466","15分未達優惠"
"307467","邀請優惠"
"307468","50元優惠券"
"307470","50元優惠券"
"307471","註冊優惠"
"307475","推播優惠"
"307477","註冊優惠"
"307479","註冊優惠"
"307483","15分未達優惠"
"307484","推播首用優惠200元"
"307494","熟客優惠券"
"307496","15分未達優惠"
"307503","白色野餐優惠"
"307507","推播優惠"
"307514","註冊優惠"
"307515","50元優惠券"
"307516","註冊優惠"
"307518","15分未達優惠"
"307522","推播優惠"
"307524","熟客優惠券"
"307530","熟客優惠券"
"307531","優惠券"
"307533","註冊優惠"
"307535","註冊優惠"
"307537","熟客優惠券"
"307542","推播首用優惠200元"
"307546","註冊優惠"
"307548","熟客優惠券"
"307549","優惠券"
"307557","花旗信用卡優惠"
"307559","line首次優惠"
"307560","花旗信用卡優惠"
"307562","line首次優惠"
"307563","line首次優惠"
"307565","推播首用優惠200元"
"307566","推播首用優惠200元"
"307567","15分未達優惠"
"307568","邀請優惠"
"307569","50元優惠券"
"307572","邀請優惠"
"307582","推播優惠"
"307588","50元優惠券"
"307589","註冊優惠"
"307592","15分未達優惠"
"307595","註冊優惠"
"307597","熟客優惠券"
"307601","15分未達優惠"
"307602","15分未達優惠"
"307603","邀請優惠"
"307604","15分未達優惠"
"307608","15分未達優惠"
"307610","推播首用優惠200元"
"307613","優惠券"
"307614","嗨到集點-六點獎勵"
"307616","優惠券"
"307617","優惠券"
"307618","優惠券"
"307619","優惠券"
"307622","邀請優惠"
"307626","註冊優惠"
"307628","註冊優惠"
"307630","50元優惠券"
"307632","推播首用優惠200元"
"307636","邀請優惠"
"307645","邀請優惠"
"307646","優惠券"
"307647","信用卡綁定優惠"
"307648","邀請優惠"
"307652","邀請優惠"
"307654","註冊優惠"
"307655","邀請優惠"
"307657","註冊優惠"
"307663","嗨到集點-三點獎勵"
"307670","50元優惠券"
"307676","熟客優惠券"
"307677","熟客優惠券"
"307678","邀請優惠"
"307687","邀請優惠"
"307689","15分未達優惠"
"307690","熟客優惠券"
"307691","邀請優惠"
"307692","熟客優惠券"
"307695","註冊優惠"
"307699","註冊優惠"
"307700","註冊優惠"
"307705","優惠券"
"307706","優惠券"
"307708","註冊優惠"
"307710","推播優惠"
"307711","註冊優惠"
"307712","推播首用優惠200元"
"307713","註冊優惠"
"307721","註冊優惠"
"307723","信用卡綁定優惠"
"307729","熟客優惠券"
"307733","註冊優惠"
"307736","50元優惠券"
"307737","熟客優惠券"
"307744","邀請優惠"
"307746","邀請優惠"
"307748","50元優惠券"
"307750","白色野餐優惠"
"307752","15分未達優惠"
"307754","邀請優惠"
"307755","熟客優惠券"
"307758","50元優惠券"
"307759","邀請優惠"
"307760","50元優惠券"
"307761","15分未達優惠"
"307767","推播優惠"
"307769","推播優惠"
"307771","註冊優惠"
"307774","嗨到集點-三點獎勵"
"307778","50元優惠券"
"307779","註冊優惠"
"307791","優惠券"
"307794","15分未達優惠"
"307797","優惠券"
"307802","邀請優惠"
"307807","邀請優惠"
"307808","邀請優惠"
"307816","邀請優惠"
"307817","推播首用優惠200元"
"307818","註冊優惠"
"307821","邀請優惠"
"307826","花旗信用卡優惠"
"307834","註冊優惠"
"307837","台新卡友禮遇"
"307838","50元優惠券"
"307845","嗨到集點-三點獎勵"
"307848","50元優惠券"
"307857","優惠券"
"307861","註冊優惠"
"307862","註冊優惠"
"307864","註冊優惠"
"307865","註冊優惠"
"307866","註冊優惠"
"307879","邀請優惠"
"307881","邀請優惠"
"307895","50元優惠券"
"307902","嗨到集點-十點獎勵"
"307903","嗨到集點-十點獎勵"
"307905","嗨到集點-十點獎勵"
"307912","邀請優惠"
"307914","50元優惠券"
"307915","優惠券"
"307916","優惠券"
"307917","50元優惠券"
"307920","邀請優惠"
"307922","邀請優惠"
"307923","嗨到集點-十點獎勵"
"307925","註冊優惠"
"307927","推播優惠"
"307930","註冊優惠"
"307931","註冊優惠"
"307933","邀請優惠"
"307935","邀請優惠"
"307938","註冊優惠"
"307942","註冊優惠"
"307944","15分未達優惠"
"307945","15分未達優惠"
"307946","50元優惠券"
"307947","邀請優惠"
"307949","50元優惠券"
"307951","嗨到集點-三點獎勵"
"307952","註冊優惠"
"307953","優惠券"
"307958","15分未達優惠"
"307963","邀請優惠"
"307964","註冊優惠"
"307966","註冊優惠"
"307967","幫朋友叫代駕獎勵"
"307969","優惠券"
"307981","推播優惠"
"307982","註冊優惠"
"308056","推播首用優惠200元"
"308071","邀請優惠"
"308075","熟客優惠券"
"308079","嗨到集點-十點獎勵"
"308082","邀請優惠"
"308086","50元優惠券"
"308090","推播首用優惠200元"
"308094","熟客優惠券"
"308096","白色野餐優惠"
"308097","熟客優惠券"
"308098","15分未達優惠"
"308099","15分未達優惠"
"308100","15分未達優惠"
"308109","註冊優惠"
"308117","優惠券"
"308120","熟客優惠券"
"308121","熟客優惠券"
"308124","15分未達優惠"
"308127","註冊優惠"
"308130","15分未達優惠"
"308132","15分未達優惠"
"308133","15分未達優惠"
"308135","白色野餐優惠"
"308136","註冊優惠"
"308137","註冊優惠"
"308138","註冊優惠"
"308139","註冊優惠"
"308143","熟客優惠券"
"308145","邀請優惠"
"308146","推播首用優惠200元"
"308152","註冊優惠"
"308155","15分未達優惠"
"308156","50元優惠券"
"308161","15分未達優惠"
"308164","嗨到集點-六點獎勵"
"308166","15分未達優惠"
"308169","推播優惠"
"308173","註冊優惠"
"308179","邀請優惠"
"308180","50元優惠券"
"308181","優惠券"
"308182","嗨到集點-十點獎勵"
"308184","註冊優惠"
"308193","推播優惠"
"308196","註冊優惠"
"308199","推播優惠"
"308200","推播優惠"
"308201","推播首用優惠200元"
"308204","熟客優惠券"
"308205","熟客優惠券"
"308211","邀請優惠"
"308222","15分未達優惠"
"308226","註冊優惠"
"308227","50元優惠券"
"308228","邀請優惠"
"308230","邀請優惠"
"308231","熟客優惠券"
"308233","邀請優惠"
"308243","熟客優惠券"
"308247","推播首用優惠200元"
"308248","熟客優惠券"
"308252","熟客優惠券"
"308257","邀請優惠"
"308263","優惠券"
"308264","推播優惠"
"308275","熟客優惠券"
"308277","50元優惠券"
"308278","註冊優惠"
"308280","熟客優惠券"
"308282","熟客優惠券"
"308284","50元優惠券"
"308291","熟客優惠券"
"308292","註冊優惠"
"308293","註冊優惠"
"308295","註冊優惠"
"308296","推播首用優惠200元"
"308297","熟客優惠券"
"308298","註冊優惠"
"308302","註冊優惠"
"308307","註冊優惠"
"308308","15分未達優惠"
"308310","15分未達優惠"
"308313","註冊優惠"
"308314","推播優惠"
"308315","15分未達優惠"
"308316","15分未達優惠"
"308319","邀請優惠"
"308320","推播優惠"
"308321","15分未達優惠"
"308324","15分未達優惠"
"308326","註冊優惠"
"308329","註冊優惠"
"308332","信用卡綁定優惠"
"308333","邀請優惠"
"308334","嗨到集點-六點獎勵"
"308336","信用卡綁定優惠"
"308337","15分未達優惠"
"308338","國泰世華信用卡優惠（限首用）"
"308342","邀請優惠"
"308344","15分未達優惠"
"308347","信用卡綁定優惠"
"308350","熟客優惠券"
"308354","邀請優惠"
"308355","嗨到集點-十點獎勵"
"308357","邀請優惠"
"308363","熟客優惠券"
"308365","15分未達優惠"
"308366","熟客優惠券"
"308368","熟客優惠券"
"308370","邀請優惠"
"308372","推播首用優惠200元"
"308373","推播首用優惠200元"
"308374","推播首用優惠200元"
"308375","熟客優惠券"
"308381","推播優惠"
"308384","推播優惠"
"308394","註冊優惠"
"308395","15分未達優惠"
"308399","註冊優惠"
"308401","註冊優惠"
"308402","15分未達優惠"
"308408","熟客優惠券"
"308409","信用卡綁定優惠"
"308412","熟客優惠券"
"308413","推播優惠"
"308415","花旗信用卡優惠"
"308419","推播優惠"
"308420","花旗信用卡優惠"
"308422","註冊優惠"
"308431","邀請優惠"
"308439","邀請優惠"
"308440","熟客優惠券"
"308445","邀請優惠"
"308446","熟客優惠券"
"308450","15分未達優惠"
"308454","註冊優惠"
"308455","15分未達優惠"
"308458","註冊優惠"
"308460","15分未達優惠"
"308464","註冊優惠"
"308469","15分未達優惠"
"308473","優惠券"
"308475","推播優惠"
"308476","15分未達優惠"
"308477","15分未達優惠"
"308478","註冊優惠"
"308485","推播優惠"
"308489","50元優惠券"
"308490","推播優惠"
"308491","嗨到集點-三點獎勵"
"308493","推播優惠"
"308494","15分未達優惠"
"308495","line首次優惠"
"308497","line首次優惠"
"308503","推播優惠"
"308505","line首次優惠"
"308507","優惠券"
"308510","15分未達優惠"
"308512","line首次優惠"
"308514","註冊優惠"
"308515","15分未達優惠"
"308520","註冊優惠"
"308522","優惠券"
"308524","註冊優惠"
"308529","註冊優惠"
"308530","推播優惠"
"308535","註冊優惠"
"308537","15分未達優惠"
"308540","優惠券"
"308542","15分未達優惠"
"308546","熟客優惠券"
"308547","邀請優惠"
"308552","註冊優惠"
"308554","註冊優惠"
"308558","推播優惠"
"308563","推播優惠"
"308569","15分未達優惠"
"308571","15分未達優惠"
"308577","信用卡綁定優惠"
"308578","邀請優惠"
"308580","信用卡綁定優惠"
"308582","推播首用優惠200元"
"308587","註冊優惠"
"308591","推播首用優惠200元"
"308600","邀請優惠"
"308602","15分未達優惠"
"308607","註冊優惠"
"308608","註冊優惠"
"308610","邀請優惠"
"308615","邀請優惠"
"308618","邀請優惠"
"308621","註冊優惠"
"308622","邀請優惠"
"308624","註冊優惠"
"308629","熟客優惠券"
"308634","邀請優惠"
"308636","優惠券"
"308644","信用卡綁定優惠"
"308645","註冊優惠"
"308650","註冊優惠"
"308652","15分未達優惠"
"308653","15分未達優惠"
"308657","註冊優惠"
"308663","邀請優惠"
"308666","熟客優惠券"
"308667","熟客優惠券"
"308668","邀請優惠"
"308669","15分未達優惠"
"308670","推播首用優惠200元"
"308675","註冊優惠"
"308676","邀請優惠"
"308679","嗨到集點-十點獎勵"
"308681","50元優惠券"
"308683","註冊優惠"
"308685","邀請優惠"
"308686","邀請優惠"
"308690","邀請優惠"
"308692","註冊優惠"
"308698","15分未達優惠"
"308699","嗨到集點-六點獎勵"
"308702","註冊優惠"
"308704","註冊優惠"
"308714","嗨到集點-六點獎勵"
"308716","熟客優惠券"
"308720","註冊優惠"
"308721","熟客優惠券"
"308722","熟客優惠券"
"308723","50元優惠券"
"308725","註冊優惠"
"308726","註冊優惠"
"308728","嗨到集點-三點獎勵"
"308732","line首次優惠"
"308739","註冊優惠"
"308741","註冊優惠"
"308749","50元優惠券"
"308750","邀請優惠"
"308753","熟客優惠券"
"308757","推播首用優惠200元"
"308759","推播優惠"
"308761","註冊優惠"
"308764","15分未達優惠"
"308765","邀請優惠"
"308770","推播首用優惠200元"
"308772","推播首用優惠200元"
"308773","15分未達優惠"
"308775","15分未達優惠"
"308777","15分未達優惠"
"308778","15分未達優惠"
"308780","15分未達優惠"
"308783","嗨到集點-六點獎勵"
"308795","優惠券"
"308796","15分未達優惠"
"308797","50元優惠券"
"308798","優惠券"
"308809","註冊優惠"
"308814","推播首用優惠200元"
"308820","推播優惠"
"308825","15分未達優惠"
"308828","邀請優惠"
"308829","推播首用優惠200元"
"308845","優惠券"
"308847","註冊優惠"
"308850","註冊優惠"
"308853","註冊優惠"
"308857","註冊優惠"
"308864","邀請優惠"
"308867","優惠券"
"308869","邀請優惠"
"308870","花旗信用卡優惠"
"308871","推播首用優惠200元"
"308873","客服代駕優惠"
"308876","邀請優惠"
"308878","註冊優惠"
"308879","推播優惠"
"308884","50元優惠券"
"308885","註冊優惠"
"308888","註冊優惠"
"308889","15分未達優惠"
"308892","花旗信用卡優惠"
"308893","15分未達優惠"
"308894","15分未達優惠"
"308900","15分未達優惠"
"308904","註冊優惠"
"308908","15分未達優惠"
"308912","邀請優惠"
"308920","邀請優惠"
"308924","嗨到集點-三點獎勵"
"308928","嗨到集點-六點獎勵"
"308929","15分未達優惠"
"308930","推播優惠"
"308933","嗨到集點-十點獎勵"
"308944","註冊優惠"
"308947","line首次優惠"
"308954","花旗信用卡優惠"
"308961","50元優惠券"
"308966","邀請優惠"
"308975","15分未達優惠"
"308982","推播首用優惠200元"
"308984","line首次優惠"
"308987","line首次優惠"
"308989","line首次優惠"
"308991","line首次優惠"
"308992","50元優惠券"
"308993","50元優惠券"
"308995","15分未達優惠"
"308997","15分未達優惠"
"309002","15分未達優惠"
"309005","推播首用優惠200元"
"309006","推播首用優惠200元"
"309009","推播首用優惠200元"
"309011","15分未達優惠"
"309013","15分未達優惠"
"309019","註冊優惠"
"309020","註冊優惠"
"309022","信用卡綁定優惠"
"309027","15分未達優惠"
"309028","邀請優惠"
"309030","信用卡綁定優惠"
"309031","註冊優惠"
"309032","信用卡綁定優惠"
"309034","花旗信用卡優惠"
"309037","註冊優惠"
"309038","15分未達優惠"
"309040","信用卡綁定優惠"
"309041","信用卡綁定優惠"
"309043","邀請優惠"
"309044","邀請優惠"
"309045","推播首用優惠200元"
"309066","台新卡友禮遇"
"309069","註冊優惠"
"309072","邀請優惠"
"309073","台新卡友禮遇"
"309074","註冊優惠"
"309075","註冊優惠"
"309076","推播優惠"
"309078","50元優惠券"
"309079","15分未達優惠"
"309080","15分未達優惠"
"309086","50元優惠券"
"309087","邀請優惠"
"309090","註冊優惠"
"309091","嗨到集點-六點獎勵"
"309093","15分未達優惠"
"309096","信用卡綁定優惠"
"309097","優惠券"
"309100","推播首用優惠200元"
"309101","嗨到集點-六點獎勵"
"309111","註冊優惠"
"309114","信用卡綁定優惠"
"309115","50元優惠券"
"309117","邀請優惠"
"309120","註冊優惠"
"309121","邀請優惠"
"309128","註冊優惠"
"309129","註冊優惠"
"309130","註冊優惠"
"309133","註冊優惠"
"309135","嗨到集點-六點獎勵"
